Expected_Coverage,PCR_efficiency,Efficiency_Effect,Actual_Coverage,Phi,Alpha,Num_Nofold,Num_Fold2,FPR,Sensitivity
0.01,100,1,0.01,1.5,99,3,4479,0.000003,0.008958
0.01,95,0.7,0.014285714,1.5,99,1,4084,0.000001,0.008168
0.01,90,0.49,0.020408163,1.5,99,1,3906,0.000001,0.007812
0.01,85,0.34,0.029411765,1.5,99,1,3923,0.000001,0.007846
0.01,80,0.23,0.043478261,1.5,99,1,4188,0.000001,0.008376
0.1,100,1,0.1,1.5,99,0,261916,0,0.523832
0.1,95,0.7,0.142857143,1.5,99,0,275878,0,0.551756
0.1,90,0.49,0.204081633,1.5,99,0,294099,0,0.588198
0.1,85,0.34,0.294117647,1.5,99,0,317088,0,0.634176
0.1,80,0.23,0.434782609,1.5,99,5,345665,0.000005,0.69133
0.25,100,1,0.25,1.5,99,0,415208,0,0.830416
0.25,95,0.7,0.357142857,1.5,99,0,426398,0,0.852796
0.25,90,0.49,0.510204082,1.5,99,0,438354,0,0.876708
0.25,85,0.34,0.735294118,1.5,99,1,451116,0.000001,0.902232
0.25,80,0.23,1.086956522,1.5,99,278,490367,0.000278,0.980734
0.5,100,1,0.5,1.5,99,0,464394,0,0.928788
0.5,95,0.7,0.714285714,1.5,99,1,471620,0.000001,0.94324
0.5,90,0.49,1.020408163,1.5,99,29,492152,0.000029,0.984304
0.5,85,0.34,1.470588235,1.5,99,926,498266,0.000926,0.996532
0.5,80,0.23,2.173913043,1.5,99,1491,498664,0.001491,0.997328
0.01,100,1,0.01,1,99,297,136093,0.000297,0.272186
0.01,95,0.7,0.014285714,1,99,255,132435,0.000255,0.26487
0.01,90,0.49,0.020408163,1,99,225,129416,0.000225,0.258832
0.01,85,0.34,0.029411765,1,99,223,129532,0.000223,0.259064
0.01,80,0.23,0.043478261,1,99,264,133323,0.000264,0.266646
0.1,100,1,0.1,1,99,261,459477,0.000261,0.918954
0.1,95,0.7,0.142857143,1,99,447,461746,0.000447,0.923492
0.1,90,0.49,0.204081633,1,99,779,464728,0.000779,0.929456
0.1,85,0.34,0.294117647,1,99,1659,468692,0.001659,0.937384
0.1,80,0.23,0.434782609,1,99,4076,473602,0.004076,0.947204
0.25,100,1,0.25,1,99,244,485569,0.000244,0.971138
0.25,95,0.7,0.357142857,1,99,693,487363,0.000693,0.974726
0.25,90,0.49,0.510204082,1,99,2239,489346,0.002239,0.978692
0.25,85,0.34,0.735294118,1,99,7292,491748,0.007292,0.983496
0.25,80,0.23,1.086956522,1,99,941047,497623,0.941047,0.995246
0.5,100,1,0.5,1,99,244,493893,0.000244,0.987786
0.5,95,0.7,0.714285714,1,99,1213,495116,0.001213,0.990232
0.5,90,0.49,1.020408163,1,99,560333,498461,0.560333,0.996922
0.5,85,0.34,1.470588235,1,99,976323,499443,0.976323,0.998886
0.5,80,0.23,2.173913043,1,99,976949,499706,0.976949,0.999412
0.01,100,1,0.01,2,99,1,86,0.000001,0.000172
0.01,95,0.7,0.014285714,2,99,1,70,0.000001,0.00014
0.01,90,0.49,0.020408163,2,99,0,65,0,0.00013
0.01,85,0.34,0.029411765,2,99,0,65,0,0.00013
0.01,80,0.23,0.043478261,2,99,0,70,0,0.00014
0.1,100,1,0.1,2,99,0,66,0,0.000132
0.1,95,0.7,0.142857143,2,99,0,121,0,0.000242
0.1,90,0.49,0.204081633,2,99,0,225,0,0.00045
0.1,85,0.34,0.294117647,2,99,0,464,0,0.000928
0.1,80,0.23,0.434782609,2,99,0,1148,0,0.002296
0.25,100,1,0.25,2,99,0,101,0,0.000202
0.25,95,0.7,0.357142857,2,99,0,260,0,0.00052
0.25,90,0.49,0.510204082,2,99,0,736,0,0.001472
0.25,85,0.34,0.735294118,2,99,0,2115,0,0.00423
0.25,80,0.23,1.086956522,2,99,22,229425,0.000022,0.45885
0.5,100,1,0.5,2,99,0,93,0,0.000186
0.5,95,0.7,0.714285714,2,99,0,401,0,0.000802
0.5,90,0.49,1.020408163,2,99,3,88175,0.000003,0.17635
0.5,85,0.34,1.470588235,2,99,100,247870,0.0001,0.49574
0.5,80,0.23,2.173913043,2,99,331,248282,0.000331,0.496564
0.01,100,1,0.01,1.25,99,16,31336,0.000016,0.062672
0.01,95,0.7,0.014285714,1.25,99,8,29777,0.000008,0.059554
0.01,90,0.49,0.020408163,1.25,99,8,28698,0.000008,0.057396
0.01,85,0.34,0.029411765,1.25,99,8,28772,0.000008,0.057544
0.01,80,0.23,0.043478261,1.25,99,7,30298,0.000007,0.060596
0.1,100,1,0.1,1.25,99,0,410585,0,0.82117
0.1,95,0.7,0.142857143,1.25,99,3,416231,0.000003,0.832462
0.1,90,0.49,0.204081633,1.25,99,4,423065,0.000004,0.84613
0.1,85,0.34,0.294117647,1.25,99,7,431869,0.000007,0.863738
0.1,80,0.23,0.434782609,1.25,99,14,442714,0.000014,0.885428
0.25,100,1,0.25,1.25,99,0,468469,0,0.936938
0.25,95,0.7,0.357142857,1.25,99,0,472721,0,0.945442
0.25,90,0.49,0.510204082,1.25,99,0,477306,0,0.954612
0.25,85,0.34,0.735294118,1.25,99,16,482065,0.000016,0.96413
0.25,80,0.23,1.086956522,1.25,99,2777,495731,0.002777,0.991462
0.5,100,1,0.5,1.25,99,0,486718,0,0.973436
0.5,95,0.7,0.714285714,1.25,99,4,489493,0.000004,0.978986
0.5,90,0.49,1.020408163,1.25,99,203,496922,0.000203,0.993844
0.5,85,0.34,1.470588235,1.25,99,4754,499200,0.004754,0.9984
0.5,80,0.23,2.173913043,1.25,99,5377,499496,0.005377,0.998992
0.01,100,1,0.01,1.75,99,1,571,0.000001,0.001142
0.01,95,0.7,0.014285714,1.75,99,1,501,0.000001,0.001002
0.01,90,0.49,0.020408163,1.75,99,1,477,0.000001,0.000954
0.01,85,0.34,0.029411765,1.75,99,1,476,0.000001,0.000952
0.01,80,0.23,0.043478261,1.75,99,1,510,0.000001,0.00102
0.1,100,1,0.1,1.75,99,0,21078,0,0.042156
0.1,95,0.7,0.142857143,1.75,99,0,26625,0,0.05325
0.1,90,0.49,0.204081633,1.75,99,0,35646,0,0.071292
0.1,85,0.34,0.294117647,1.75,99,0,50693,0,0.101386
0.1,80,0.23,0.434782609,1.75,99,0,77625,0,0.15525
0.25,100,1,0.25,1.75,99,0,150709,0,0.301418
0.25,95,0.7,0.357142857,1.75,99,0,186709,0,0.373418
0.25,90,0.49,0.510204082,1.75,99,0,231111,0,0.462222
0.25,85,0.34,0.735294118,1.75,99,0,282094,0,0.564188
0.25,80,0.23,1.086956522,1.75,99,96,471641,0.000096,0.943282
0.5,100,1,0.5,1.75,99,0,333512,0,0.667024
0.5,95,0.7,0.714285714,1.75,99,0,368073,0,0.736146
0.5,90,0.49,1.020408163,1.75,99,6,469067,0.000006,0.938134
0.5,85,0.34,1.470588235,1.75,99,324,493586,0.000324,0.987172
0.5,80,0.23,2.173913043,1.75,99,848,494058,0.000848,0.988116
0.01,100,1,0.01,0.75,99,299,136286,0.000299,0.272572
0.01,95,0.7,0.014285714,0.75,99,255,132435,0.000255,0.26487
0.01,90,0.49,0.020408163,0.75,99,228,129484,0.000228,0.258968
0.01,85,0.34,0.029411765,0.75,99,228,130019,0.000228,0.260038
0.01,80,0.23,0.043478261,0.75,99,275,134007,0.000275,0.268014
0.1,100,1,0.1,0.75,99,267,459597,0.000267,0.919194
0.1,95,0.7,0.142857143,0.75,99,457,462082,0.000457,0.924164
0.1,90,0.49,0.204081633,0.75,99,798,465163,0.000798,0.930326
0.1,85,0.34,0.294117647,0.75,99,1732,469328,0.001732,0.938656
0.1,80,0.23,0.434782609,0.75,99,4343,474497,0.004343,0.948994
0.25,100,1,0.25,0.75,99,257,485786,0.000257,0.971572
0.25,95,0.7,0.357142857,0.75,99,729,487652,0.000729,0.975304
0.25,90,0.49,0.510204082,0.75,99,2381,489791,0.002381,0.979582
0.25,85,0.34,0.735294118,0.75,99,7911,492502,0.007911,0.985004
0.25,80,0.23,1.086956522,0.75,99,948313,498214,0.948313,0.996428
0.5,100,1,0.5,0.75,99,248,493961,0.000248,0.987922
0.5,95,0.7,0.714285714,0.75,99,1349,495546,0.001349,0.991092
0.5,90,0.49,1.020408163,0.75,99,578600,498809,0.5786,0.997618
0.5,85,0.34,1.470588235,0.75,99,976866,499684,0.976866,0.999368
0.5,80,0.23,2.173913043,0.75,99,976949,499706,0.976949,0.999412
0.01,100,1,0.01,0.75,95,5315,254659,0.005315,0.509318
0.01,95,0.7,0.014285714,0.75,95,4899,251302,0.004899,0.502604
0.01,90,0.49,0.020408163,0.75,95,4678,249015,0.004678,0.49803
0.01,85,0.34,0.029411765,0.75,95,4718,249299,0.004718,0.498598
0.01,80,0.23,0.043478261,0.75,95,5023,252605,0.005023,0.50521
0.1,100,1,0.1,0.75,95,5408,475449,0.005408,0.950898
0.1,95,0.7,0.142857143,0.75,95,7257,476885,0.007257,0.95377
0.1,90,0.49,0.204081633,0.75,95,10388,478814,0.010388,0.957628
